#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_trident;The Trident;Le Trident;Der Dreizack;;El Tridente;;;;;;;;;x
INSULT_NASTY;nasty;puant;puant;puant;repugnante;;;;;;;;;x
INSULT_CUT_THROAT;cut-throat;trancheur/se de gorge;trancheur/se de gorge;trancheur/se de gorge;despiadado;;;;;;;;;x
COMPL_DEVOUT;devout;dévôt/e;dévôt/e;dévôt/e;devoto;;;;;;;;;x
INSULT_RED_BITCH;red bitch;putain rouge;putain rouge;putain rouge;puta roja;;;;;;;;;x
COMPL_HOLY;holy;saint/e;saint/e;saint/e;santo;;;;;;;;;x
COMPL_DIVINE;divine;divin/e;divin/e;divin/e;divino;;;;;;;;;x
COMPL_REAVER;reaver;ravageur/se;ravageur/se;ravageur/se;saqueador;;;;;;;;;x
INSULT_DEFORMITY;deformity;difforme;difforme;difforme;deformación;;;;;;;;;x
INSULT_REPULSIVE;repulsive;répugnant/e;répugnant/e;répugnant/e;repulsivo;;;;;;;;;x
INSULT_BLIND;blind;aveugle;aveugle;aveugle;ciego;;;;;;;;;x
INSULT_DISFIGURED;disfigured;défiguré/e;défiguré/e;défiguré/e;desfigurado;;;;;;;;;x
Ok;OK;OK;OK;OK;OK;;;;;;;;;x
OK;OK;OK;OK;OK;OK;;;;;;;;;x
MORE;More;Lire la suite;Lire la suite;Lire la suite;Más;;;;;;;;;x
RESET;Reset;Reset;Reset;Reset;Reiniciar;;;;;;;;;x
call_a_great_council;Call a Great Council;Réunir un Grand Conseil;;;Convocar un Gran Consejo;;;;;;;;;x
call_a_great_council_desc;The succession to [This.PrimaryTitle.GetName] is unclear, [This.Heir.GetTitledFirstName] being a questionable heir. [This.GetTitledFirstName] can call a Great Council of the lords of the realm, to determine who should be [This.GetHerHis] heir.;La succession de [This.PrimaryTitle.GetName] est litigieuse, [This.Heir.GetTitledFirstName] ne faisant pas l'unanimité comme héritier. [This.GetTitledFirstName] peut convoquer un Grand Conseil pour réunir les seigneurs du royaume et déterminer qui est l'héritier de [This.GetHerHis].;;;La sucesión de [This.PrimaryTitle.GetName] no está clara, [This.Heir.GetTitledFirstName] es un heredero cuestionable. [This.GetTitledFirstName] puede convocar un Gran Consejo con los Señores del Reino, para determinar quien debería ser el heredero.;;;;;;;;;x
TOOLTIPcall_a_great_councilHEIR;[This.GetTitledFirstName] is NOT [Root.GetTitledFirstName]'s child, AND is either an imbecile, inbred, incapable or aged under 10\n;[This.GetTitledFirstName] n'est PAS l'enfant de [Root.GetTitledFirstName], ET est soit imbécile, consanguin, incapable ou âgé de moins de 10 ans\n;;;[This.GetTitledFirstName] NO es hijo de [Root.GetTitledFirstName], Y tampoco un imbécil, congénito, incapaz o menor de 10 años\n;;;;;;;;;x
TOOLTIPcall_a_great_councilSENIOR;There is a valid male [Root.GetOnlyDynastyName] heir to [Root.PrimaryTitle.GetName] under seniority succession\n;Il y a un héritier [Root.GetOnlyDynastyName] mâle à [Root.PrimaryTitle.GetName] en succession par séniorité\n;;;Hay un varón válido [Root.GetOnlyDynastyName] heredero de [Root.PrimaryTitle.GetName] en virtud de la sucesión por antigüedad\n;;;;;;;;;x
TOOLTIPcall_a_great_councilGLOBAL;There are no Great Councils being held elsewhere in the world\n;Il n'y a pas de Grand Conseil réuni autre part dans le monde\n;;;No se está celebrando ningún Gran Consejo en otro lugar del mundo\n;;;;;;;;;x
TOOLTIPdynasty.20;All vassals of [Root.PrimaryTitle.GetName] shall be summoned to a Great Council in [Root.Capital.GetName] to determine who should be your heir.\n\nUpto four candidates may be proposed: the current heir, the agnatic heir, the seniority heir and the heir of your current heir.;Tous les vassaux de [Root.PrimaryTitle.GetName] seront convoqués à un Grand Conseil à [Root.Capital.GetName] pour déterminer qui doit être votre héritier.\n\nAu plus, quatre candidats peuvent être proposés : l'héritier actuel, l'héritier agnatique, l'héritier le plus âgé et l'héritier de votre héritier actuel.;;;Todos los vasallos de [Root.PrimaryTitle.GetName] serán convocados al Gran Consejo en [Root.Capital.GetName] para determinar quien será tu heredero.\n\nHasta cuatro candidatos podrán ser propuestos: el heredero actual, el heredero agnático, el heredero por antigüedad y el heredero de tu actual heredero.;;;;;;;;;x
great_council_votes;Great Council Votes;Votes du Grand Conseil;;;Votos del Gran Consejo;;;;;;;;;x
EVTTITLEdynasty.20;The Great Council of [GetYear];Grand Conseil de [Root.Capital.GetName];;;El Gran Consejo de [GetYear];;;;;;;;;x
EVTDESCdynasty.20;You have decreed a great council to be held to determine who should be the heir to [Root.PrimaryTitle.GetName]. All the important nobles of the realm have be issued a summons, compelling them to travel to [Root.Capital.GetName]. When they have all arrived a great feast shall be had, before we move on to more serious business.;Vous avez décrété la tenue d'un Grand Conseil pour déterminer qui doit être l'héritier de [Root.PrimaryTitle.GetName]. Tous les nobles importants de [Root.PrimaryTitle.GetName] ont reçu une convocation les sommant de se rendre à [Root.Capital.GetName]. Un grand banquet les accueillera à leur arrivée. Un peu de détente avant que les discussions sérieuses ne commencent. ;;;Has organizado un Gran Consejo para determinar quien debería ser el heredero de [Root.PrimaryTitle.GetName]. Todos los Señores importantes del Reino han sido llamados a viajar hacia [Root.Capital.GetName]. Cuando todos ellos hayan llegado se celebrará un banquete antes de tratar asuntos más serios.;;;;;;;;;x
EVTOPTAdynasty.20;The realm will not see it's like in years to come;Ce royaume ne verra pas un tel événement de sitôt;;;El reino no verá un acontecimiento como éste en muchos años;;;;;;;;;x
TOOLTIPGREATCOUNCILCANDIDATE;[This.GetTitledFirstName] [This.GetOnlyDynastyName] is a candidate\n;[This.GetTitledFirstName] [This.GetOnlyDynastyName] est candidat\n;;;[This.GetTitledFirstName] [This.GetOnlyDynastyName] es el candidato\n;;;;;;;;;x
EVTDESCdynasty.21;[Root.GetTitledFirstName], your lawful liege, [From.GetTitledFirstName], hereby summons you to [From.Capital.GetName], where a great council of the nobles of [From.PrimaryTitle.GetName] is to be held. There the succession to [From.PrimaryTitle.GetName] shall be settled once and for all.\n\nSigned\n[From.GetTitledFirstNameNoRegnal] of House [From.GetOnlyDynastyName], the [From.GetRegnalOrdinal] of [From.GetHerHis] name;[Root.GetTitledFirstName], votre suzerain légitime, [From.GetTitledFirstName], vous convoque à [From.Capital.GetName], où un grand conseil des nobles de [From.PrimaryTitle.GetName] va se tenir. D'importantes décisions concernant le royaume doivent y être prises.\n\nSigné\n[From.GetTitledFirstNameNoRegnal] de la Maison [From.GetOnlyDynastyName], [From.GetRegnalOrdinal] de son nom.;;;[Root.GetTitledFirstName], su señor legítimo, por la presente convoca [From.GetTitledFirstName], para viajar hacia [From.Capital.GetName], donde un gran consejo de los nobles de [From.PrimaryTitle.GetName] se llevará a cabo. Allí se discutirán asuntos importantes relacionados con el futuro del reino. \ N \ nSigned \ n [From.GetTitledFirstName] de la Casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAdynasty.21;A council of great importance;Un conseil de grande importance;;;Un Consejo de gran importancia;;;;;;;;;x
EVTOPTBdynasty.21;My regent must go in my stead;Mon régent s'y rendra pour me représenter.;;;Mi regente irá allí para sustituirme;;;;;;;;;x
TOOLTIPdynasty.22;[This.GetTitledFirstName] will attend and speak in your name\n;[This.GetTitledFirstName] va s'y rendre pour y parler en votre nom\n;;;[This.GetTitledFirstName] asistirá y hablará en tu nombre.\n;;;;;;;;;x
EVTDESCdynasty.22;[FromFrom.GetTitledFirstName] has called a great council to settle the succession to [FromFrom.PrimaryTitle.GetName], and has summoned all landed nobles of the realm to [FromFrom.Capital.GetName] to attend. As regent to [From.GetTitledFirstName] I must attend, so that [From.GetSheHe] and [From.PrimaryTitle.GetName] will have a voice.;[FromFrom.GetTitledFirstName] réunit un grand conseil pour déterminer la succession de [FromFrom.PrimaryTitle.GetName], et a convoqué tous les nobles du royaume de [FromFrom.Capital.GetName]. En tant que régent de [From.GetTitledFirstName] je dois y participer, pour parler au nom de [From.GetSheHe] [From.PrimaryTitle.GetName].;;;[FromFrom.GetTitledFirstName] ha convocado un Gran Consejo para resolver la sucesión de [FromFrom.PrimaryTitle.GetName] y ha convocado a todos los Señores en [FromFrom.Capital.GetName] para participar.Como regente de [From.GetTitledFirstName] tengo que ir allí en su nombre, y representar a [From.PrimaryTitle.GetName].;;;;;;;;;x
EVTOPTAdynasty.22;A council of great importance;Un conseil de grande importance;;;Un Consejo de gran importancia;;;;;;;;;x
EVTDESCdynasty.23;All preparations for the council are finally complete, and the great nobles have started to arrive in [Root.Capital.GetName]. They have all be given bread and shelter as is their guest right, and now a feast shall be held before the serious discussions commence;Tous les préparatifs pour le conseil sont enfin achevés et les grands nobles commencent à arriver à [Root.Capital.GetName]. Ils ont tous reçu le pain et le sel comme l'exigent les lois de l'hospitalité, le banquet peut donc commencer avant de débuter les discussions sérieuses.;;;Todos los preparativos han sido completados, y los grandes señores han comenzado a llegar a [Root.Capital.GetName]. Ya se les ha servido pan y se han instalado, ahora la fiesta puede comenzar.;;;;;;;;;x
EVTOPTAdynasty.23;No doubt much campaigning shall start;Sans aucun doute, le début des négociations;;;Sin duda, comenzará una gran campaña;;;;;;;;;x
EVTOPTBdynasty.23;The war means this council must be postponed;La guerre nous oblige à remettre ce conseil à plus tard.;;;La guerra nos obliga a posponer este Gran Consejo.;;;;;;;;;x
EVTTOOLTIPdynasty.24;[This.GetTitledFirstName] [This.GetOnlyDynastyName] ;[This.GetTitledFirstName] [This.GetOnlyDynastyName] ;;;[This.GetTitledFirstName] [This.GetOnlyDynastyName] ;;;;;;;;;x
TOOLTIPdynasty.23RULER;of [This.PrimaryTitle.GetName] ;de [This.PrimaryTitle.GetName] ;;;de [This.PrimaryTitle.GetName] ;;;;;;;;;x
TOOLTIPdynasty.23ARRIVED;The following notables have arrived:\n;Les nobles suivants sont arrivés:\n;;;Los siguientes señores ya han llegado:\n;;;;;;;;;x
TOOLTIPdynasty.23ARRIVEDB;The most notable of the attendees to arrive are:\n;Les nobles attendus les plus importants sont:\n;;;Los señores que están por llegar son:\n;;;;;;;;;x
TOOLTIPdynasty.23REGENT;, here to speak on behalf of [This.Liege.GetTitledFirstName] [This.Liege.GetOnlyDynastyName];, ici pour parler avec au nom de [This.Liege.GetTitledFirstName] [This.Liege.GetOnlyDynastyName];;;, aquí para hablar con la voz de [This.Liege.GetTitledFirstName] [This.Liege.GetOnlyDynastyName];;;;;;;;;x
TOOLTIPdynasty.23ENDLINE;\n;\n;;;\n;;;;;;;;;x
EVTDESCdynasty.24;Our journey to [From.Capital.GetName] is complete, we have arrived for the great council. We have been welcomed into [From.GetTitledFirstName]'s hospitality , and once all the nobles of [From.GetTitledFirstName] have arrived a feast shall begin.;Notre voyage vers [From.Capital.GetName] est terminé, nous sommes arrivé au grand conseil. Nous avons été accueillis par [From.GetTitledFirstName] et lorsque tous les nobles de [From.GetTitledFirstName] seront arrivés le banquet pourra commencer.;;;Nuestro viaje a [From.Capital.GetName] está terminado, hemos llegado al Gran Consejo.[From.GetTitledFirstName] nos ha recibido hospitalariamente , y una vez que todos los nobles de [From.GetTitledFirstName] lleguen, comenzarán los festejos.;;;;;;;;;x
EVTOPTAdynasty.24;How exciting;Voilà qui est excitant.;;;Esto es emocionante.;;;;;;;;;x
EVTDESCdynasty.923;The feasting is over and now the council can begin in earnest. Everyone has assembled in the hall, with the more notable attendees closest to yourself. You formally announce that you would like to put the matter of the succession before the lords of the realm, so that an heir can be decided by common consent.;Le banquet est terminé et maintenant le conseil peut commencer. Tout le monde s'est rassemblé dans la grande salle, les invités les plus importants ont été placés à côté de vous. Vous annoncez solennellement que vous souhaitez parler de succession devant les nobles du royaume, pour qu'un consensus puisse décider qui sera l'héritier.;;;El banquete ha terminado y ahora el Gran Consejo puede comenzar en serio. Todo el mundo se ha reunido en la sala, con los asistentes más destacados cercanos a ti. Anuncias formalmente que te gustaría poner el asunto de la sucesión ante los Señores del Reino, para que un heredero pueda decidirse en consenso.;;;;;;;;;x
EVTOPTAdynasty.923;Now we can debate;Maintenant nous pouvons débattre. ;;;Ahora podemos debatir.;;;;;;;;;x
TOOLTIPdynasty.924;may respond\n;peut répondre\n;;;puede responder\n;;;;;;;;;x
EVTDESCdynasty.924;The feasting is over and now the council can begin in earnest. Everyone has assembled in the hall, with the more notable attendees closest to [From.GetTitledFirstName]. The [From.GetTitle] formally announces that [From.GetSheHe] would like to put the matter of the succession before the lords of the realm, so that an heir can be decided by common consent.;Le banquet est terminé et maintenant le conseil peut commencer. Tout le monde s'est rassemblé dans la grande salle, les invités les plus importants ont été placés à côté de [From.GetTitledFirstName]. Le [From.GetTitle] annonce solennellement qu'[From.GetSheHe] souhaite parler de succession devant les nobles du royaume, pour qu'un consensus puisse décider qui sera l'héritier. ;;;El banquete ha terminado y ahora el Gran Consejo puede comenzar en serio. Todo el mundo se ha reunido en la sala, con los asistentes más destacados cercanos a [From.GetTitledFirstName]. El [From.GetTitle] anuncia formalmente que le gustaría poner el asunto de la sucesión ante los Señores del Reino, para que un heredero pueda decidirse en consenso.;;;;;;;;;x
EVTOPTAdynasty.924;I shall wait and listen to the arguments;Je vais attendre et écouter les arguments des uns et des autres.;;;Esperaré y escucharé los argumentos.;;;;;;;;;x
EVTOPTBdynasty.924;I shall speak in favour of [gc_female_candidate.GetTitledFirstName], the current heir;Je vais soutenir [gc_female_candidate.GetTitledFirstName], l'héritier actuel;Je vais soutenir [gc_female_candidate.GetTitledFirstName], l'héritier actuel;Je vais soutenir [gc_female_candidate.GetTitledFirstName], l'héritier actuel;Apoyaré a [gc_female_candidate.GetTitledFirstName], el heredero actual;;;;;;;;;x
EVTOPTCdynasty.924;The heir in the male line, [gc_male_candidate.GetTitledFirstName], should inherit;L'héritier de la lignée mâle, [gc_male_candidate.GetTitledFirstName], doit hériter du titre;L'héritier de la lignée mâle, [gc_male_candidate.GetTitledFirstName], doit hériter du titre;L'héritier de la lignée mâle, [gc_male_candidate.GetTitledFirstName], doit hériter du titre;El heredero varón, [gc_male_candidate.GetTitledFirstName], debe heredar el título;;;;;;;;;x
EVTOPTFdynasty.924;I should be heir, and I will make my case;Je dois être l'héritier et vais plaider ma cause;Je dois être l'héritier et vais plaider ma cause;Je dois être l'héritier et vais plaider ma cause;Yo debería ser el heredero y defenderé mi causa;;;;;;;;;x
EVTOPTDdynasty.924;I will make the case for [gc_senior_candidate.GetTitledFirstName], the senior candidate;Je vais soutenir [gc_senior_candidate.GetTitledFirstName], le candidat le plus âgé;Je vais soutenir [gc_senior_candidate.GetTitledFirstName], le candidat le plus âgé;Je vais soutenir [gc_senior_candidate.GetTitledFirstName], le candidat le plus âgé;Apoyaré a [gc_senior_candidate.GetTitledFirstName], el candidato más antiguo;;;;;;;;;x
EVTOPTEdynasty.924;[gc_2nd_candidate.GetTitledFirstName] would make a good compromise;Choisir [gc_2nd_candidate.GetTitledFirstName] me semble être un bon compromis;Choisir [gc_2nd_candidate.GetTitledFirstName] me semble être un bon compromis;Choisir [gc_2nd_candidate.GetTitledFirstName] me semble être un bon compromis;Elegir a [gc_2nd_candidate.GetTitledFirstName] me parece un buen compromiso;;;;;;;;;x
TOOLTIPdynasty.925;You make an argument in favour of [This.GetTitledFirstName] [This.GetOnlyDynastyName] ;Je plaide la cause de [This.GetTitledFirstName] [This.GetOnlyDynastyName] ;Je plaide la cause de [This.GetTitledFirstName] [This.GetOnlyDynastyName] ;Je plaide la cause de [This.GetTitledFirstName] [This.GetOnlyDynastyName] ;Defiendes la causa de [This.GetTitledFirstName] [This.GetOnlyDynastyName] ;;;;;;;;;x
TOOLTIPdynasty.925B;You make an argument in favour of yourself;Je plaide ma propre cause;Je plaide ma propre cause;Je plaide ma propre cause;Defiendes tu propia causa;;;;;;;;;x
opinion_spoke_for_me_great_council;Spoke For Me at Great Council;Parle pour moi au Grand Conseil;Parle pour moi au Grand Conseil;Parle pour moi au Grand Conseil;Habla por mi en el Gran Consejo;;;;;;;;;x
EVTDESCdynasty.25;There have been hours of debate already among your subjects, much of it heated. But now you raise your hand to silence them all. The time has come to give your opinions and observations to the council.;Le débat s'est poursuivi pendant des heures entre vos sujets. Il a parfois été très violent. Vous finissez par lever la main, obtenant ainsi le silence. Il est temps de mettre fin aux débats et de prendre une décision. ;;;El debate se prolongó durante horas, a veces de forma violenta. Levantas la mano para imponer orden. Es hora de poner fin al debate y tomar una decisión.;;;;;;;;;x
EVTOPTAdynasty.25;I will not speak, this is for my vassals to decide;Je ne parlerai pas et laisser la décision à mes vassaux;;;No hablaré y dejaré la decisión a mis vasallos;;;;;;;;;x
EVTOPTBdynasty.25;I shall speak in favour of [gc_female_candidate.GetTitledFirstName], the current heir;Je plaiderai la cause de [gc_female_candidate.GetTitledFirstName], l'héritier actuel;;;Apoyaré a [gc_female_candidate.GetTitledFirstName], el heredero actual;;;;;;;;;x
EVTOPTCdynasty.25;The heir in the male line, [gc_male_candidate.GetTitledFirstName], should inherit;L'héritier de la lignée mâle, [gc_male_candidate.GetTitledFirstName], doit hériter du titre;;;El heredero varón, [gc_male_candidate.GetTitledFirstName], debe heredar el título;;;;;;;;;x
EVTOPTDdynasty.25;I will make the case for [gc_senior_candidate.GetTitledFirstName], the senior candidate;Je vais soutenir [gc_senior_candidate.GetTitledFirstName], le candidat le plus âgé;;;El heredero varón, [gc_male_candidate.GetTitledFirstName], debe heredar el título;;;;;;;;;x
EVTOPTEdynasty.25;[gc_2nd_candidate.GetTitledFirstName] would make a good compromise;Choisir [gc_2nd_candidate.GetTitledFirstName] me semble être un bon compromis;;;Elegir a [gc_2nd_candidate.GetTitledFirstName] me parece un buen compromiso;;;;;;;;;x
EVTDESCdynasty.27;You proceed to give an most convincing speech in favour of [FromFrom.GetTitledFirstName]. Your subjects are captivated as you extol the virtues and rights of the person you see as your most able heir. Many break out in applause and cheering throughout, and by the end they are cheering [FromFrom.GetFirstName]'s name loudly and heartily.;Vous parvenez à faire un discours convaincant et inspirant, plaidant la cause de [FromFrom.GetTitledFirstName]. Vos sujets sont captivés tandis que vous vantez les vertus et les mérites de la personne qui vous paraît être le meilleur héritier. A la fin, nombre d'entre eux se mettent à vous applaudir et acclament avec ferveur le nom de [FromFrom.GetFirstName].;;;Procedes a dar un discurso convincente e inspirador, defendiendo la causa de [FromFrom.GetTitledFirstName]. Tus súbditos son cautivados mientras exaltas las virtudes y los méritos de la persona que te parece el mejor heredero. Al final, muchos de ellos comienzan a aplaudir y corean fervientemente el nombre de [FromFrom.GetFirstName].;;;;;;;;;x
EVTOPTAdynasty.27;This will win [FromFrom.GetHerHim] many votes;[FromFrom.GetHerHim] va gagner beaucoup de votes;;;[FromFrom.GetHerHim] ganará muchos votos;;;;;;;;;x
EVTDESCdynasty.28;Your speech is calm and measured, you give many sound arguments as to why [FromFrom.GetTitledFirstName] should be your heir. You outline the legal arguments in favour and highlight [FromFrom.GetFirstName]'s virtues, and by the end many of your subjects seem to be in agreement. Some still seem sceptical however.;Votre discours est calme et mesuré, vous donnez de nombreux arguments démontrant que [FromFrom.GetTitledFirstName] doit être votre héritier. Vous soulignez les arguments juridiques en saveur et mettez en valeur les vertus de [FromFrom.GetFirstName]. A la fin, la plupart de vos sujets semblent être d'accord avec vous. Néanmoins certains restent sceptiques.;;;Suenas tranquilo y mesurado, dando muchos argumentos sólidos demostrando que [FromFrom.GetTitledFirstName] debe ser tu heredero. Subrayas los argumentos jurídicos y las virtudes de [FromFrom.GetFirstName]. Al final, la mayor parte de tus súbditos parecen estar de acuerdo contigo. Sin embargo, algunos se mantienen escépticos.;;;;;;;;;x
EVTOPTAdynasty.28;Most of them will agree I'm sure;Je suis sûr que la plupart d'entre eux seront d'accord. ;;;Estoy seguro de que muchos de ellos estarán de acuerdo.;;;;;;;;;x
EVTDESCdynasty.29;You did your best to persuade everyone in favour of [FromFrom.GetTitledFirstName], but unfortunately most of the nobles present found your speech ponderous and grandiose. Those that did not fall asleep found your legal arguments weak, and your praise of [FromFrom.GetFirstName] shallow. By the end only a few gave mild applause.;Vous avez fait de votre mieux pour les persuader et les inspirer, mais malheureusement la plupart des nobles présents ont trouvé que votre discours était trop lourd et pompeux. Ceux qui ne sont pas assoupis ont trouvé que vos arguments légaux étaient faibles et vos louanges en faveur de [FromFrom.GetFirstName], creux. A la fin, seule une poignée d'entre eux vous ont applaudis.;;;Hiciste tu mejor esfuerzo para inspirar y persuadir, pero desafortunadamente la mayoría de los nobles presentes se aburrieron. Los que consiguieron no dormirse encontraron tu discurso hueco y tus argumentos pomposos. Al final sólo unos pocos aplaudieron suavemente.;;;;;;;;;x
EVTOPTAdynasty.29;I'm sure they forgive me a bad speech;Je suis sûr qu'ils me pardonneront d'avoir fait un mauvais discours.;;;Seguro que perdonarán mi desafortunado discurso.;;;;;;;;;x
EVTDESCdynasty.30;After hours of debate [From.GetTitledFirstName] calls for quiet, and proceeds to give an utterly convincing speech in favour of [FromFromFrom.GetTitledFirstName]. Everyone is captivated as [From.GetSheHe] extol the virtues and rights of the person [From.GetSheHe] sees as [From.GetHerHis] most able heir. Many break out in applause and cheering throughout, and by the end they are cheering [FromFromFrom.GetFirstName]'s name loudly and heartily.;Après des heures de débats, [From.GetTitledFirstName] appelle au calme et se lance dans un discours convaincant et inspirant pour soutenir [FromFromFrom.GetTitledFirstName]. Tout le monde est captivé tandis qu'il vante les vertus et les mérites de [From.GetSheHe] que [From.GetHerHis] voit comme son meilleur héritier. A la fin, nombre des vassaux rassemblés se mettent à applaudir et acclament avec ferveur le nom de [FromFrom.GetFirstName].;;;Después de horas de debate [From.GetTitledFirstName] llama a la calma, y procede a dar un discurso totalmente convincente e inspirador para apoyar a [FromFromFrom.GetTitledFirstName]. Todo el mundo está cautivado mientras ensalza las virtudes y méritos de su heredero preferido. Al final, muchos de los vasallos comienzan a aplaudir y corean fervientemente el nombre de [FromFrom.GetFirstName].;;;;;;;;;x
EVTOPTAdynasty.30;I am blown away;Je suis sidéré.;;;Estoy impresionado.;;;;;;;;;x
EVTDESCdynasty.31;After hours of debate [From.GetTitledFirstName] calls for quiet, and then gives a calm and measured speech, giving many sound arguments as to why [FromFromFrom.GetTitledFirstName] should be your heir to [From.PrimaryTitle.GetName]. [From.GetSheHeCap] outlined the legal arguments in favour and highlighted [FromFromFrom.GetFirstName]'s virtues, and by the end many seem to be in agreement. Some still seem sceptical however.;Après des heures de débats, [From.GetTitledFirstName] appelle au calme et se lance dans un discours calme et mesuré argumentant en quoi [FromFrom.GetTitledFirstName] doit être votre héritier au titre de [From.PrimaryTitle.GetName]. [From.GetSheHeCap] souligne les arguments juridiques favorables et met en valeurs les vertus de [FromFromFrom.GetFirstName]. A la fin la plupart des personnes présentes semblent être d'accord. Néanmoins certains restent sceptiques.;;;Después de horas de debate [From.GetTitledFirstName] llama a la calma, y procede a dar un discurso tranquilo y mesurado, dando muchos argumentos sólidos de por que [FromFrom.GetTitledFirstName] debe ser el heredero al título de [From.PrimaryTitle.GetName]. Subraya los argumentos jurídicos y las virtudes de [FromFromFrom.GetFirstName]. Al final, la mayor parte de los súbditos parecen estar de acuerdo con él. Sin embargo, algunos se mantienen escépticos.;;;;;;;;;x
EVTOPTAdynasty.31;That was no doubt a compelling argument;Voilà sans aucun doute des arguments irréfutables.;;;Ese fue, sin duda, un argumento de peso.;;;;;;;;;x
EVTDESCdynasty.32;After hours of debate [From.GetTitledFirstName] calls for quiet, and proceeds to give the most ponderous and grandiose speech, despite doing [From.GetHerHis] best to persuade us. Those that did not fall asleep found [From.GetHerHis] legal arguments weak, and [From.GetHerHis] praise of [FromFromFrom.GetFirstName] shallow. By the end only a few gave mild applause.;Après des heures de débats, [From.GetTitledFirstName] appelle au calme et se lance dans un discours lourd et pompeux malgré tous ses efforts pour nous convaincre. Ceux qui ne sont pas assoupis ont trouvé que ses arguments légaux étaient faibles et les louanges en faveur de [FromFrom.GetFirstName], creux. A la fin, seule une poignée d'entre eux ont applaudi.;;;Después de horas de debate [From.GetTitledFirstName] llama a la calma, y procede a dar un discurso aburrido y pomposo, a pesar de sus esfuerzos para convencernos. Los que consiguieron no dormirse encontraron débiles sus argumentos legales y las alabanzas hacia [FromFrom.GetFirstName] huecas. Al final sólo unos pocos aplaudieron suavemente.;;;;;;;;;x
EVTOPTAdynasty.32;That was most lacklustre;C'était… terne.;;;Fue de lo más mediocre…;;;;;;;;;x
EVTDESCdynasty.33;Now everyone has had their say, the council is almost concluded. Having heard all the arguments, [Root.TopLiege.GetTitledFirstName] bids the voting start. Everyone present is to have a single vote, the person with the most votes becoming heir to [Root.TopLiege.PrimaryTitle.GetName];Maintenant que tout le monde a pu s'exprimer, le conseil est presque terminé. Ayant attentivement écouté les arguments des uns et des autres, [Root.TopLiege.GetTitledFirstName] décide de passer au vote. Chaque personne présente a une voix et la personne rassemblant le plus de votes deviendra l'héritier de [Root.TopLiege.PrimaryTitle.GetName].;;;Ahora que todo el mundo ha dado su opinión, el Gran Consejo está punto de concluir. Después de haber escuchado todos los argumentos, [Root.TopLiege.GetTitledFirstName] decide que empiecen las votaciones. Cada persona presente tiene un voto y la persona con más votos se convertirá en el heredero de [Root.TopLiege.PrimaryTitle.GetName].;;;;;;;;;x
EVTDESCdynasty.33B;The votes have been counted, and a tie has been declared! As [Root.GetTitle], you have the deciding vote.;Le décompte des votes a débouché sur une égalité. En tant que [Root.GetTitle], votre vote départage le scrutin.;;;El recuento de los votos ha acabado en empate. Como [Root.GetTitle], tu voto desempatará el escrutinio.;;;;;;;;;x
EVTDESCdynasty.36;The great council is finally over, with every important noble in the realm having had their say. The votes have been counted and [From.GetTitledFirstName] [From.GetOnlyDynastyName] has been declared the winner! [From.GetSheHeCap] is immediately presented before the assembled lords in a grand ceremony, and is formally named heir to [Root.PrimaryTitle.GetName].;Le grand conseil est finalement terminé, tous les nobles importants du royaume ont pu donner leur opinion. Le décompte des votes a été effectué et [From.GetTitledFirstName] [From.GetOnlyDynastyName] est déclaré vainqueur ! [From.GetSheHeCap] est présenté immédiatement devant les nobles assemblés lors d'une grande cérémonie et est officiellement nommé héritier de [Root.PrimaryTitle.GetName].;;;El Gran Consejo ha finalizado, todos los Señores del Reino han podido dar su opinión. El recuento de los votos ha acabado y [From.GetTitledFirstName] [From.GetOnlyDynastyName] ha sido declarado vencedor! [From.GetSheHeCap] se ha reunido inmediatamente ante los nobles en una gran ceremonia y ha sido oficialmente nombrado heredero de [Root.PrimaryTitle.GetName].;;;;;;;;;x
EVTOPTAdynasty.36;A worthy new heir;Un nouvel héritier de grande valeur;;;Un nuevo heredero de gran valor;;;;;;;;;x
TOOLTIPdynasty.36;[This.GetTitledFirstName] [This.GetOnlyDynastyName] will named your heir. [This.GetSheHeCap] obtained [This.great_council_votes.GetValue] votes\n;[This.GetTitledFirstName] [This.GetOnlyDynastyName] va désigner votre héritier. [This.GetSheHeCap] a obtenu [This.great_council_votes.GetValue] votes\n;;;[This.GetTitledFirstName] [This.GetOnlyDynastyName] será designado como tu heredero. [This.GetSheHeCap] ha obtenido [This.great_council_votes.GetValue] votos\n;;;;;;;;;x
TOOLTIPdynasty.36B;[This.GetTitledFirstName] [This.GetOnlyDynastyName] obtained [This.great_council_votes.GetValue] votes\n;[This.GetTitledFirstName] [This.GetOnlyDynastyName] a obtenu [This.great_council_votes.GetValue] votes\n;;;[This.GetTitledFirstName] [This.GetOnlyDynastyName] ha obtenido [This.great_council_votes.GetValue] votos\n;;;;;;;;;x
